year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1983,d) 20 to 99,337729,472265,13372751,13389903,22692,4.824,18946,4.0280000000000005,2235657,670595,1565062,5.008,16.697,2266725,542561,1724164,4.052,16.929000000000002,-31068,-0.232,33.393,5223,7261,370491
1984,d) 20 to 99,349374,483836,14466642,13864073,19982,4.151,15162,3.149,2878435,660523,2217912,4.7639999999999985,20.762,1674803,476479,1198324,3.437,12.08,1203632,8.682,24.16,4898,6291,343158
1985,d) 20 to 99,365247,496686,14989605,14666389,19191,3.872,17020,3.434,2805561,729593,2075968,4.975,19.129,2158891,742784,1416107,5.065,14.72,646670,4.409,29.44,7929,9892,577181
1986,d) 20 to 99,382444,520786,15599894,15239298,34090,6.643,18831,3.67,3051658,958719,2092939,6.291,20.025,2331025,654166,1676859,4.293,15.296,720633,4.729,30.592,6688,8648,481855
1987,d) 20 to 99,388430,535625,15924901,15641770,33191,6.252999999999999,23598,4.4460000000000015,3169601,983304,2186297,6.2860000000000005,20.264,2603587,764249,1839338,4.886,16.645,566014,3.619,33.29,7784,9897,562054
1988,d) 20 to 99,403175,558253,16495869,16193227,32860,5.949,21044,3.81,3082135,912423,2169712,5.635,19.033,2475821,709925,1765896,4.384,15.289,606314,3.744,30.578000000000007,7354,10040,536720
1989,d) 20 to 99,415918,573254,17022132,16636456,30828,5.4220000000000015,21478,3.777,3139507,907557,2231950,5.455,18.871,2369196,762561,1606635,4.584,14.241,770311,4.63,28.482,8069,11407,582430
1990,d) 20 to 99,428611,586699,17361211,17107137,28974,4.98,19228,3.305,2985860,872570,2113290,5.101,17.454,2478727,699023,1779704,4.086,14.489,507133,2.964,28.979,7790,10507,557614
1991,d) 20 to 99,420320,596580,16557995,16850991,46144,7.854,27969,4.761,2759872,1001822,1758050,5.945,16.378,3345649,1011989,2333660,6.006,19.854,-585777,-3.4760000000000004,32.756,10807,14450,801650
1992,d) 20 to 99,411890,600512,16514562,16379729,32174,5.398,23156,3.885,2889597,817722,2071875,4.992,17.641,2620965,690252,1930713,4.214,16.000999999999998,268632,1.64,32.003,7105,9867,512746
1993,d) 20 to 99,416346,605106,16761848,16577688,23986,3.964,23955,3.959,2790370,733408,2056962,4.424,16.832,2425882,664241,1761641,4.007,14.633,364488,2.199,29.267,6691,10035,490287
1994,d) 20 to 99,425356,613176,17324225,17045015,26253,4.297,21736,3.5580000000000003,2884544,801812,2082732,4.704,16.923,2326437,711623,1614814,4.175,13.649,558107,3.274,27.298,7682,11607,572864
1995,d) 20 to 99,439846,627527,17982367,17566154,26077,4.173,20740,3.319,2999328,800349,2198979,4.556,17.074,2165565,688966,1476599,3.922,12.328,833763,4.746,24.656,7536,12110,565708
1996,d) 20 to 99,445508,632209,17973687,17805613,26079,4.14,21575,3.425,2788812,812485,1976327,4.563,15.663,2453307,740623,1712684,4.159,13.778,335505,1.884,27.557,8083,12867,602523
1997,d) 20 to 99,454137,642156,18555221,18220760,32762,5.115,29574,4.617,3255956,869708,2386248,4.773,17.869,2585273,872289,1712984,4.787,14.189,670683,3.681,28.377,8766,13404,650362
1998,d) 20 to 99,467712,648760,19197411,18896128,22634,3.482,25001,3.847,3139005,814253,2324752,4.309,16.612000000000002,2536735,736493,1800242,3.898,13.425,602270,3.187,26.849,7388,11608,546203
1999,d) 20 to 99,476367,650795,19381257,19158728,22460,3.449,23106,3.549,2917420,710396,2207024,3.708,15.228,2471146,818164,1652982,4.27,12.898,446274,2.329,25.797,8847,14959,664493
2000,d) 20 to 99,487556,655405,19987658,19603284,22398,3.422,20662,3.157,3110321,750278,2360043,3.827,15.866,2340331,741652,1598679,3.783,11.938,769990,3.928,23.877,8025,13378,591471
2001,d) 20 to 99,494106,658689,20010756,19891231,25205,3.839,20878,3.18,2877218,760195,2117023,3.822,14.465,2639040,778707,1860333,3.915,13.267,238178,1.197,26.535,8432,13131,630232
2002,d) 20 to 99,490039,664261,19651612,19832780,45830,6.973,31876,4.85,3323833,1304185,2019648,6.5760000000000005,16.759,3683521,1149296,2534225,5.795,18.573,-359688,-1.814,33.519,11566,15735,893866
2003,d) 20 to 99,491895,666104,19889712,19627028,25692,3.861,24358,3.66,3183747,803388,2380359,4.093,16.221,2657940,718992,1938948,3.663,13.542,525807,2.679,27.084,7188,10830,533418
2004,d) 20 to 99,499660,672490,20221938,19987884,19808,2.951,17266,2.572,2939341,772291,2167050,3.864,14.706,2470105,676689,1793416,3.385,12.358,469236,2.3480000000000003,24.716,7350,11004,546656
2005,d) 20 to 99,503047,675405,20215898,20128566,22913,3.406,17707,2.632,2888767,832703,2056064,4.137,14.352,2710875,685667,2025208,3.406,13.468,177892,0.884,26.936,7464,11340,551066
2006,d) 20 to 99,508418,690990,20840519,20402567,37224,5.464,17656,2.592,3346653,1086195,2260458,5.324,16.403,2469649,719568,1750081,3.527,12.105,877004,4.298,24.209,7892,11000,583219
2007,d) 20 to 99,513143,698382,20646344,20596291,31042,4.468,23857,3.434,3083647,899042,2184605,4.365,14.972,2979405,832900,2146505,4.044,14.466,104242,0.506,28.931,7802,10616,578693
2008,d) 20 to 99,508055,692820,20485696,20433079,26774,3.875,22861,3.309,2866117,788879,2077238,3.861,14.027,2761628,744382,2017246,3.643,13.515,104489,0.511,27.031,7724,10797,570115
2009,d) 20 to 99,490159,675638,19117998,19745452,19951,2.957,17892,2.652,2103662,632449,1471213,3.2030000000000003,10.654000000000002,3356824,748247,2608577,3.789,17.0,-1253162,-6.347,21.308000000000003,8067,11745,620273
2010,d) 20 to 99,468944,659401,18466987,18684842,23697,3.615,15803,2.411,2123447,722977,1400470,3.869,11.365,2558952,551954,2006998,2.954,13.695,-435505,-2.331,22.729,6135,9705,443469
2011,d) 20 to 99,462087,654092,18604201,18408555,22598,3.475,15017,2.309,2373520,649937,1723583,3.531,12.894,1981032,526119,1454913,2.858,10.761,392488,2.132,21.523000000000003,5709,8872,420034
2012,d) 20 to 99,471259,659528,19127257,18789437,24064,3.649,23773,3.605,2757654,750599,2007055,3.995,14.677,2080997,623076,1457921,3.3160000000000003,11.075,676657,3.6010000000000004,22.151,5860,9114,426453
2013,d) 20 to 99,480115,666679,19381646,19155364,23491,3.534,19443,2.925,2519510,682676,1836834,3.564,13.153,2064078,592456,1471622,3.093,10.775,455432,2.378,21.551,6145,8543,449434
2014,d) 20 to 99,489532,677849,19832726,19532185,23723,3.5210000000000004,15661,2.324,2489110,722308,1766802,3.698,12.744000000000002,1886715,552723,1333992,2.83,9.66,602395,3.084,19.319000000000006,5969,9174,437716
2015,d) 20 to 99,502371,693273,20377936,20045536,25823,3.749,16725,2.428,2597494,774383,1823111,3.863,12.958,1935424,600173,1335251,2.994,9.655,662070,3.303,19.31,6699,10010,485499
2016,d) 20 to 99,513887,705991,20780409,20503327,25757,3.673,16328,2.3280000000000003,2619435,769143,1850292,3.751,12.776,2064521,613757,1450764,2.9930000000000003,10.069,554914,2.7060000000000004,20.138,6852,9946,499130
2017,d) 20 to 99,520663,709557,21056737,20799958,24825,3.5,24250,3.419,2928345,801827,2126518,3.855,14.079,2415836,780341,1635495,3.752,11.615,512509,2.464,23.229,8092,11972,594378
2018,d) 20 to 99,526358,708508,21256120,21095557,14714,2.07,19164,2.696,2619090,667151,1951939,3.1630000000000003,12.415,2298702,661957,1636745,3.138,10.897,320388,1.519,21.793000000000006,7732,13112,569186
1978,e) 100 to 499,45410,163094,8951775,8612626,17944,11.037,16923,10.409,1922923,534533,1388390,6.206,22.327,1246214,493757,752457,5.733,14.47,676709,7.857,28.939,391,1021,136417
1979,e) 100 to 499,49436,175359,9697182,9422538,15296,8.825,11211,6.4689999999999985,1739278,459698,1279580,4.879,18.459,1189056,377508,811548,4.006,12.619000000000002,550222,5.839,25.239,310,686,100025
1980,e) 100 to 499,51069,183358,9833626,9782670,14430,7.957999999999998,10363,5.715,1502048,419022,1083026,4.283,15.354,1402876,387984,1014892,3.966,14.34,99172,1.014,28.681,375,1141,129890
1981,e) 100 to 499,51471,188741,9827274,9754874,16252,8.761000000000001,9774,5.269,1525355,507661,1017694,5.204,15.637,1378252,313758,1064494,3.216,14.129,147103,1.508,28.258000000000006,275,881,93361
1982,e) 100 to 499,52209,197080,10121383,9956071,15472,7.989,8658,4.47,1770730,647514,1123216,6.504,17.785,1441806,285103,1156703,2.864,14.482,328924,3.304,28.963,318,1024,106529
1983,e) 100 to 499,52007,196625,9822063,9847266,15097,7.737,12080,6.191,1585666,494739,1090927,5.024,16.102999999999998,1634026,335565,1298461,3.408,16.594,-48360,-0.491,32.205,337,981,108813
1984,e) 100 to 499,53927,202442,10639251,10212806,15933,7.997000000000001,9546,4.791,1974398,482256,1492142,4.722,19.333,1120481,264398,856083,2.589,10.970999999999998,853917,8.361,21.943,264,586,85992
1985,e) 100 to 499,57033,209895,11246375,10884647,15830,7.659,9400,4.548,2062371,537112,1525259,4.935,18.948,1338722,381517,957205,3.505,12.299,723649,6.648,24.598000000000006,570,1451,188402
1986,e) 100 to 499,59028,208993,11331762,11149834,17586,8.529,12002,5.8210000000000015,2078456,618699,1459757,5.549,18.641,1714308,393367,1320941,3.528,15.375,364148,3.266,30.75,485,965,158754
1987,e) 100 to 499,61477,223369,12090836,11857466,22082,10.092,12972,5.928,2449193,862365,1586828,7.273,20.655,1989290,468263,1521027,3.949,16.777,459903,3.879,33.553000000000004,629,1502,212653
1988,e) 100 to 499,64306,238503,12472281,12245316,25400,10.917,13702,5.8889999999999985,2346027,795329,1550698,6.495,19.159,1891022,515551,1375471,4.21,15.443,455005,3.716,30.886,686,1895,242528
1989,e) 100 to 499,66809,246423,13004210,12674966,23038,9.518,14309,5.9110000000000005,2318591,698373,1620218,5.51,18.293,1657345,486254,1171091,3.836,13.076,661246,5.2170000000000005,26.151,612,2240,200495
1990,e) 100 to 499,69045,255192,13300905,13109074,21182,8.427999999999999,13443,5.349,2116576,660180,1456396,5.0360000000000005,16.146,1733746,447286,1286460,3.412,13.226,382830,2.92,26.451,663,1887,219906
1991,e) 100 to 499,67068,262063,12725704,12908164,24235,9.399,15777,6.119,1889008,680388,1208620,5.271,14.634,2256784,631882,1624902,4.895,17.483,-367776,-2.849,29.268,1047,3133,356537
1992,e) 100 to 499,66223,272531,12837324,12686609,19965,7.411,13689,5.081,2081992,608991,1473001,4.8,16.410999999999998,1779978,423340,1356638,3.337,14.03,302014,2.381,28.061,605,1990,200468
1993,e) 100 to 499,67980,273672,13240893,13029103,17287,6.28,20443,7.427,2170243,561359,1608884,4.309,16.657,1747618,521431,1226187,4.002,13.413,422625,3.244,26.826,636,3012,226578
1994,e) 100 to 499,69593,277576,13612356,13385024,18796,6.831,13951,5.07,2150664,588188,1562476,4.394,16.067999999999998,1697503,564236,1133267,4.215,12.682,453161,3.386,25.364,890,2496,323862
1995,e) 100 to 499,72662,281669,14108344,13824904,19582,7.0310000000000015,13301,4.775,2216210,620175,1596035,4.4860000000000015,16.031,1653580,490133,1163447,3.545,11.961,562630,4.07,23.922,742,2448,260979
1996,e) 100 to 499,72346,285652,13912169,13789820,19688,6.971,13257,4.694,2020468,599278,1421190,4.346,14.652,1776476,474160,1302316,3.438,12.883,243992,1.769,25.765,744,2497,255245
1997,e) 100 to 499,73846,293523,14458486,14163254,24449,8.451,16029,5.54,2495333,702135,1793198,4.957,17.618,1903222,584007,1319215,4.123,13.438,592111,4.181,26.875,898,3145,320268
1998,e) 100 to 499,77219,299047,15168648,14861951,22798,7.683,18154,6.1179999999999986,2517612,694138,1823474,4.671,16.94,1908805,532820,1375985,3.585,12.844,608807,4.096,25.687,731,4027,263569
1999,e) 100 to 499,79210,304041,15428826,15185576,25288,8.442,16295,5.44,2376531,702989,1673542,4.629,15.65,1891051,557666,1333385,3.672,12.453,485480,3.197,24.906,824,3682,288808
2000,e) 100 to 499,81636,307463,16013628,15618136,23291,7.662000000000001,16336,5.374,2563041,687683,1875358,4.4030000000000005,16.410999999999998,1770731,505071,1265660,3.234,11.338,792310,5.073,22.675,703,3850,255851
2001,e) 100 to 499,82798,312205,15981412,15889358,22650,7.317,17317,5.5939999999999985,2248951,606225,1642726,3.815,14.154000000000002,2064998,563475,1501523,3.5460000000000003,12.996,183953,1.158,25.992,803,3077,286453
2002,e) 100 to 499,81167,318651,15444009,15679065,24067,7.6179999999999986,18648,5.902,2352934,849574,1503360,5.419,15.007,2823861,763755,2060106,4.871,18.01,-470927,-3.004,30.014,1293,4338,461822
2003,e) 100 to 499,82971,326959,16060849,15810567,20684,6.347,18573,5.699,2559489,614513,1944976,3.887,16.188,2057757,568196,1489561,3.594,13.015,501732,3.173,26.03,745,2559,258978
2004,e) 100 to 499,84497,329993,16389895,16239346,17923,5.457999999999998,14716,4.481,2159664,555688,1603976,3.422,13.299,1860022,497719,1362303,3.065,11.454,299642,1.845,22.908,747,3254,270989
2005,e) 100 to 499,85677,334746,16695733,16444236,22190,6.728,12285,3.725,2305060,640166,1664894,3.893,14.017,1804503,439007,1365496,2.67,10.973,500557,3.044,21.947,648,1805,226499
2006,e) 100 to 499,87589,346571,17129038,16821995,27938,8.237,13147,3.876,2513000,795332,1717668,4.728,14.939,1896971,458692,1438279,2.727,11.277,616029,3.662,22.553,659,2394,236660
2007,e) 100 to 499,87844,351674,16901414,16879205,22926,6.587999999999999,15574,4.475,2249808,570289,1679519,3.379,13.329,2203872,513650,1690222,3.043,13.057,45936,0.272,26.113000000000003,702,2618,246497
2008,e) 100 to 499,87809,353339,17053279,16886782,21662,6.175,16582,4.727,2288343,550343,1738000,3.259,13.550999999999998,1956741,491945,1464796,2.9130000000000003,11.587,331602,1.964,23.175,726,2387,247181
2009,e) 100 to 499,84752,353606,15930672,16390815,19644,5.598,14285,4.0710000000000015,1616310,489321,1126989,2.985,9.861,2533379,529434,2003945,3.23,15.456,-917069,-5.595,19.722,862,2823,307962
2010,e) 100 to 499,81386,355013,15598662,15633051,22350,6.372999999999998,13698,3.906,1783676,567188,1216488,3.628,11.41,1854620,362541,1492079,2.319,11.863,-70944,-0.454,22.819000000000006,490,2561,177934
2011,e) 100 to 499,80915,355372,15766214,15588246,17562,4.979,12240,3.47,1845160,423926,1421234,2.72,11.837,1489453,320810,1168643,2.0580000000000003,9.555,355707,2.282,19.11,456,1908,154835
2012,e) 100 to 499,81421,351769,15977507,15742817,15784,4.4830000000000005,16436,4.668,2075744,438999,1636745,2.789,13.185,1609102,406594,1202508,2.583,10.221,466642,2.964,20.442,506,2295,182971
2013,e) 100 to 499,83600,354558,16414624,16159679,16597,4.7,13780,3.902,2024358,427487,1596871,2.645,12.527,1512981,399883,1113098,2.475,9.363,511377,3.165,18.725,575,1323,198112
2014,e) 100 to 499,85740,360976,16848207,16569702,19150,5.364,11166,3.128,1944935,506722,1438213,3.0580000000000003,11.738,1388619,331948,1056671,2.003,8.38,556316,3.357,16.761,521,1907,179823
2015,e) 100 to 499,87836,366960,17282916,17001857,21349,5.8870000000000005,12737,3.512,2040282,537632,1502650,3.162,12.0,1477344,345784,1131560,2.0340000000000003,8.689,562938,3.3110000000000004,17.379,528,2144,184639
2016,e) 100 to 499,89480,374335,17599001,17355545,20987,5.67,12608,3.406,2028386,525529,1502857,3.028,11.687,1539012,351192,1187820,2.024,8.868,489374,2.82,17.735,569,2469,196992
2017,e) 100 to 499,90515,372753,17884973,17621251,17760,4.775,16188,4.352,2453612,503939,1949673,2.86,13.924,1925198,477813,1447385,2.712,10.925,528414,2.999,21.851,676,2353,234452
2018,e) 100 to 499,91758,373906,18217673,17993505,13514,3.621,12155,3.257,2137668,443022,1694646,2.462,11.88,1689478,386291,1303187,2.147,9.389,448190,2.491,18.779,679,4370,234173
1978,f) 500 to 999,5514,51643,3374710,3288261,6282,12.225,5769,11.227,667492,204721,462771,6.226,20.299,495120,218043,277077,6.631,15.057,172372,5.242000000000001,30.114,30,87,42010
1979,f) 500 to 999,5681,53825,3541939,3461326,5597,10.469,4873,9.115,571254,181740,389514,5.251,16.504,407598,148320,259278,4.285,11.776,163656,4.728,23.552,14,124,14766
1980,f) 500 to 999,5737,56434,3529682,3490777,5888,10.607,4041,7.28,498814,184379,314435,5.282,14.289,421091,116624,304467,3.341,12.063,77723,2.227,24.126,21,89,23173
1981,f) 500 to 999,5867,58160,3527419,3490045,6292,11.119000000000002,3147,5.561,508049,193233,314816,5.537000000000001,14.557,431068,102544,328524,2.938,12.351,76981,2.206,24.703000000000007,13,272,18465
1982,f) 500 to 999,5821,62162,3622745,3543783,5932,9.742,3396,5.577000000000001,587498,250105,337393,7.058,16.578,428921,107819,321102,3.042,12.103,158577,4.475,24.207,8,39,11368
1983,f) 500 to 999,6023,61800,3530283,3537420,5250,8.588,3912,6.399,516221,180616,335605,5.106,14.593,531885,102570,429315,2.9,15.036,-15664,-0.443,29.186,6,42,7826
1984,f) 500 to 999,6077,64987,3826291,3673007,6184,9.764,2885,4.555,651430,205332,446098,5.59,17.736,345781,68421,277360,1.863,9.414,305649,8.321,18.828,(D),(D),(D)
1985,f) 500 to 999,6374,65248,4011052,3859191,6483,10.187,3270,5.138,745530,257424,488106,6.67,19.318,438272,108367,329905,2.8080000000000003,11.357,307258,7.9620000000000015,22.713,18,145,20567
1986,f) 500 to 999,6720,68495,4091356,4027859,7843,11.864,3065,4.636,686909,252036,434873,6.2570000000000014,17.054000000000002,559795,118749,441046,2.948,13.898,127114,3.156,27.796,16,183,20513
1987,f) 500 to 999,7119,69905,4314653,4260157,7110,10.355,4623,6.733,813080,348055,465025,8.17,19.086,702486,156677,545809,3.678,16.49,110594,2.596,32.979,18,225,24697
1988,f) 500 to 999,7533,75671,4552122,4470405,8796,11.941,4780,6.489,809549,302857,506692,6.775,18.109,649648,195501,454147,4.373,14.532,159901,3.577,29.064,37,211,50865
1989,f) 500 to 999,7766,79700,4694748,4584007,8879,11.45,4570,5.893,748787,256590,492197,5.598,16.335,523746,148681,375065,3.2430000000000003,11.425999999999998,225041,4.909,22.851,19,251,26945
1990,f) 500 to 999,7971,83591,4806196,4721478,9727,12.003,4622,5.7029999999999985,706032,229194,476838,4.854,14.954,536209,124245,411964,2.631,11.357,169823,3.597,22.714,15,50,19582
1991,f) 500 to 999,7858,81364,4634084,4671802,8153,10.177,5656,7.06,611605,217028,394577,4.645,13.091,687560,189696,497864,4.06,14.717,-75955,-1.626,26.183000000000003,46,160,60399
1992,f) 500 to 999,7896,82968,4706317,4655422,8692,10.73,4774,5.893,688034,246374,441660,5.292000000000002,14.779000000000002,586684,139750,446934,3.002,12.602,101350,2.177,25.204,21,366,29902
1993,f) 500 to 999,7909,80481,4747881,4685498,6198,7.7,6221,7.729,702507,200728,501779,4.284,14.993,578422,183396,395026,3.914,12.345,124085,2.648,24.69,24,281,33098
1994,f) 500 to 999,8089,82996,4897577,4804972,8013,9.802,5517,6.749,700428,223225,477203,4.646,14.577,515150,147865,367285,3.077,10.720999999999998,185278,3.856,21.442,34,288,44669
1995,f) 500 to 999,8251,88896,5035372,4926318,8533,9.786,5125,5.877999999999999,747974,245074,502900,4.975,15.183,529310,141325,387985,2.869,10.745,218664,4.439,21.489,30,474,41537
1996,f) 500 to 999,8377,88225,5072122,5015514,7344,8.379,6198,7.0710000000000015,725873,226942,498931,4.525,14.473,610307,177704,432603,3.543,12.168,115566,2.3040000000000003,24.337,40,380,54576
1997,f) 500 to 999,8439,92687,5238270,5154815,9964,10.953,6524,7.1720000000000015,845742,285450,560292,5.5379999999999985,16.407,678271,213477,464794,4.141,13.158,167471,3.249,26.316,58,846,86321
1998,f) 500 to 999,8868,95770,5437891,5325932,10356,11.007,6994,7.433,901853,279071,622782,5.24,16.933,676234,206094,470140,3.87,12.697,225619,4.2360000000000015,25.394,42,343,55658
1999,f) 500 to 999,8973,96885,5523975,5453047,10752,11.306,7186,7.556,870046,296944,573102,5.445,15.955,727199,215232,511967,3.947,13.336,142847,2.62,26.671,47,761,61155
2000,f) 500 to 999,9256,99099,5737928,5612311,10634,10.924,7123,7.317,925031,294720,630311,5.251,16.482,670150,219578,450572,3.912,11.941,254881,4.541,23.881,45,726,58238
2001,f) 500 to 999,9424,101410,5841080,5796490,9160,9.114,7342,7.305,848093,255800,592293,4.413,14.630999999999998,760821,212367,548454,3.664,13.126,87272,1.506,26.251,44,1136,61810
2002,f) 500 to 999,9462,103819,5646654,5753592,10083,9.788,8463,8.216000000000001,808100,277742,530358,4.827,14.045,1021792,299411,722381,5.204,17.759,-213692,-3.714,28.09,81,1325,110381
2003,f) 500 to 999,9365,104546,5601689,5582906,7421,7.102,7315,7.0,787808,211236,576572,3.784,14.111,749114,204278,544836,3.659,13.418,38694,0.693,26.836,39,353,54060
2004,f) 500 to 999,9257,104260,5664630,5612347,6914,6.613,7495,7.169,736821,194697,542124,3.469,13.129,635691,185098,450593,3.298,11.327,101130,1.802,22.653,33,1264,42851
2005,f) 500 to 999,9507,110235,5896486,5786633,10275,9.477,6641,6.125,865702,287931,577771,4.976,14.96,645417,171688,473729,2.967,11.154000000000002,220285,3.807,22.307,41,1092,56943
2006,f) 500 to 999,9817,110113,6061892,5957480,9550,8.818,5937,5.482,837536,229995,607541,3.861,14.059,630033,148179,481854,2.487,10.575,207503,3.483,21.151,32,878,46532
2007,f) 500 to 999,10066,114034,6135453,6076111,9944,8.887,5671,5.0680000000000005,828040,219343,608697,3.61,13.628,709634,164696,544938,2.7110000000000003,11.679,118406,1.949,23.358,32,306,43985
2008,f) 500 to 999,10148,116105,6169627,6129621,8255,7.157,6730,5.835,808506,215327,593179,3.513,13.19,729772,188683,541089,3.0780000000000003,11.906,78734,1.284,23.811,36,421,47308
2009,f) 500 to 999,9718,118593,5863166,6013403,8208,6.952000000000001,7147,6.0539999999999985,636307,214537,421770,3.568,10.581,934633,188447,746186,3.134,15.542,-298326,-4.961,21.163,47,599,63722
2010,f) 500 to 999,9458,121317,5780847,5804553,7858,6.5139999999999985,6477,5.369,649921,194219,455702,3.346,11.197,700387,148791,551596,2.563,12.066,-50466,-0.8690000000000001,22.393,35,319,47723
2011,f) 500 to 999,9413,122085,5927752,5843904,6245,5.134,5368,4.413,685987,148156,537831,2.535,11.739,517822,103059,414763,1.764,8.861,168165,2.878,17.722,16,192,20032
2012,f) 500 to 999,9876,124723,6213488,6114361,6234,5.002,6066,4.867,764941,143786,621155,2.352,12.511,567193,129055,438138,2.111,9.276,197748,3.234,18.553,25,232,34244
2013,f) 500 to 999,10088,124359,6333231,6257796,6790,5.482,5798,4.681,770223,154862,615361,2.475,12.308,617724,154043,463681,2.462,9.871,152499,2.437,19.743,35,398,49605
2014,f) 500 to 999,10322,124709,6494006,6395432,7536,6.101,5156,4.174,812008,197294,614714,3.085,12.697,613886,129864,484022,2.031,9.599,198122,3.0980000000000003,19.198,19,215,27998
2015,f) 500 to 999,10514,128880,6608672,6506054,8648,6.803,5120,4.0280000000000005,815110,224599,590511,3.452,12.528,611442,132414,479028,2.035,9.398,203668,3.13,18.796,32,243,42341
2016,f) 500 to 999,10627,131097,6699372,6619456,8830,6.825,5406,4.178,812985,197165,615820,2.979,12.282,653708,129467,524241,1.956,9.876,159277,2.406,19.751,30,509,40376
2017,f) 500 to 999,10845,133332,6854292,6732678,7997,6.045,5926,4.479,913798,201384,712414,2.991,13.573,671815,145059,526756,2.155,9.978,241983,3.594,19.957,28,514,40118
2018,f) 500 to 999,10857,135997,7049675,6939906,7516,5.564,5711,4.227,909512,232396,677116,3.349,13.106,689051,127536,561515,1.838,9.929,220461,3.177,19.858,29,953,38403
1978,g) 1000 to 2499,3357,65646,4280971,4186936,8196,12.505999999999998,7977,12.172,770500,262495,508005,6.269,18.402,583088,277801,305287,6.635,13.925999999999998,187412,4.476,27.853,13,77,37559
1979,g) 1000 to 2499,3412,69250,4491919,4356867,8604,12.703,5567,8.219,719308,262970,456338,6.0360000000000005,16.51,453308,185665,267643,4.261,10.404000000000002,266000,6.105,20.809,5,17,8135
1980,g) 1000 to 2499,3533,70745,4628021,4541736,9189,13.424,4602,6.723,653376,267808,385568,5.897,14.386,478312,154030,324282,3.391,10.531,175064,3.855,21.063,3,3,4126
1981,g) 1000 to 2499,3711,71604,4650544,4611014,7060,10.021,4751,6.744,593258,223427,369831,4.846,12.866,513591,137632,375959,2.985,11.138,79667,1.7280000000000002,22.277,(D),(D),(D)
1982,g) 1000 to 2499,3804,76123,4961544,4841422,7786,10.421,4966,6.647,748421,354415,394006,7.32,15.459,509177,135102,374075,2.7910000000000004,10.517,239244,4.942,21.034,(D),(D),(D)
1983,g) 1000 to 2499,3852,75459,4774106,4773235,6569,8.816,4674,6.273,604287,232436,371851,4.87,12.66,601048,131705,469343,2.759,12.592,3239,0.068,25.184,(D),(D),(D)
1984,g) 1000 to 2499,3932,79682,5132153,4966351,7618,9.783,3988,5.122000000000001,781033,283743,497290,5.712999999999999,15.726,454370,97879,356491,1.971,9.149,326663,6.5779999999999985,18.298,(D),(D),(D)
1985,g) 1000 to 2499,4115,83731,5461084,5284782,8575,10.486,4666,5.706,900220,336063,564157,6.359,17.034000000000002,545845,139976,405869,2.649,10.329,354375,6.706,20.657,4,83,10047
1986,g) 1000 to 2499,4306,85673,5585867,5471834,9435,11.349,4354,5.237,878973,357492,521481,6.533,16.064,646282,134572,511710,2.459,11.811,232691,4.253,23.622,3,3,6668
1987,g) 1000 to 2499,4458,86606,5792329,5771041,10468,12.487,4921,5.87,951965,432240,519725,7.49,16.496,910540,205638,704902,3.563,15.778,41425,0.718,31.555,8,73,17817
1988,g) 1000 to 2499,4734,92605,6145785,5985849,12338,13.858,5191,5.831,1035643,426423,609220,7.124,17.302,713734,222818,490916,3.722,11.924,321909,5.377999999999999,23.847,11,75,33035
1989,g) 1000 to 2499,5000,98128,6472893,6310730,11350,11.942,5172,5.442,984519,349182,635337,5.533,15.601,662104,185945,476159,2.946,10.492,322415,5.109,20.983,12,142,28552
1990,g) 1000 to 2499,5107,104160,6677782,6598253,9925,9.706,6110,5.975,883572,322301,561271,4.885,13.390999999999998,724976,175319,549657,2.657,10.987,158596,2.404,21.975,7,401,18939
1991,g) 1000 to 2499,5119,107549,6602533,6601473,11306,10.761,6339,6.033,818769,315468,503301,4.779,12.403,817979,212694,605285,3.222,12.390999999999998,790,0.012,24.782,17,42,48369
1992,g) 1000 to 2499,5110,110349,6675154,6620029,9621,8.808,7393,6.768,893676,289611,604065,4.375,13.5,782663,215820,566843,3.26,11.823,111013,1.6769999999999998,23.645,7,7,23036
1993,g) 1000 to 2499,5101,109963,6728745,6656338,8948,8.184,7705,7.0470000000000015,886036,267002,619034,4.011,13.311,736353,217959,518394,3.274,11.062,149683,2.249,22.125,11,20,30018
1994,g) 1000 to 2499,5371,111850,6903635,6795881,11049,10.021,7863,7.1320000000000014,935819,307878,627941,4.53,13.77,719067,216383,502684,3.184,10.581,216752,3.189,21.162,16,328,44090
1995,g) 1000 to 2499,5409,115275,7017412,6878900,12196,10.786,7782,6.882999999999999,956682,338721,617961,4.924,13.907,678446,192261,486185,2.795,9.863,278236,4.045,19.725,9,415,26627
1996,g) 1000 to 2499,5366,112184,6943929,6884512,10847,9.803,7778,7.029,908841,310682,598159,4.513,13.201,791915,219546,572369,3.189,11.503,116926,1.6980000000000002,23.006,7,40,17122
1997,g) 1000 to 2499,5390,118609,7197456,7047347,13812,11.854,9632,8.266,1200789,452195,748594,6.417000000000002,17.039,899682,265399,634283,3.766,12.765999999999998,301107,4.273,25.533,15,422,38880
